taxon,taxon_code,domestic_wild_status,plant_part,family
Artemisia vulgaris,ARTEVUL,w,seed/grain,Compositae
Asclepiadaceae indeterminate,ASCLIND,w,seed/grain,Asclepiadaceae
Asparagus sp.,ASPASPE,W,seed/grain,Liliaceae
Asperula sp.,ASPESPE,W,seed/grain,Rubiaceae
Asperula/Galium sp.,ASPEGAL,W,seed/grain,Rubiaceae
Asphodelus spp.,ASPHSPE,w,seed/grain,Liliaceae
Asteraceae indet.,COMPIND,W,achene,Asteraceae
Asteraceae indet.,COMPIND,W,kernals,Asteraceae
Asteraceae indet.,COMPIND,W,seed and kernals,Asteraceae
Asteraceae indet.,COMPIND,W,seed/grain,Asteraceae
Asterolinon linum-stellatum,ASTELIS,w,seed/grain,Primulaceae
Astragalus callichrous,ASTRCAL,w,seed/grain,Leguminosae
Atriplex leucoclada,ATRILEU,W,dispersal unit,Chenopodiaceae
Atriplex rosea,ATRIROS,w,dispersal unit,Chenopodiaceae
Atriplex sp.,ATRISPE,W,bracts,Chenopodiaceae
Atriplex sp.,ATRISPE,W,seeds and bracts,Chenopodiaceae
Atriplex sp.,ATRISPE,W,seed/grain,Chenopodiaceae
Atriplex tatarica,ATRITAT,w,seed/grain,Chenopodiaceae
Bellevalia sp.,BELLSPE,W,seed/grain,Liliaceae
Bellevalia/Muscari sp.,BELLMUS,W,seed/grain,Liliaceae
Bellevalia/Ornithogalum spp.,BELLORN,w,seed/grain,Liliaceae
Bellevaria/Asphoderus,BELLASP,w,seed/grain,Liliaceae
Beta sp.,BETASPE,W,seed/grain,Chenopodiaceae
Beta vulgaris L.,BETAVUL,D,seed/grain,Chenopodiaceae
Bifora spp.,BIFOSPE,w,seed/grain,Umbelliferae
Boraginaceae indeterminate,BORAIND,W,embryos,Boraginaceae
Boraginaceae indeterminate,BORAIND,W,seed/grain/esperm,Boraginaceae
Boraginaceae indeterminate,BORAIND,W,seed/grain,Boraginaceae
Buglossoides arvensis (L.) Johnston,BUGLARV,W,achene,Boraginaceae
Buglossoides arvensis (L.) Johnston,BUGLARV,W,seed/grain,Boraginaceae
Buglossoides Moench sp.,BUGLSPE,W,seed/grain,Boraginaceae
Buglossoides tenuiflora (L. fil.) Johnston,BUGLTEN,W,seed/grain,Boraginaceae
Bupleurum rotundifolium type,BUPLROT,W,seed/grain,Apiaceae
Bupleurum sp. L.,BUPLSPE,W,seed/grain,Apiaceae
Bupleurum subovatum Link. ex Spreng. var. heterophyllum (Link) Wolff in Engler,BUPLSUB,W,seed/grain,Apiaceae
Calendula sp. L.,CALESPE,W,seed/grain,Asteraceae
Camelina microcarpa,CAMEMIC,w,seed/grain,Brassicaceae
Camelina spp.,CAMESPE,w,seed/grain,Cruciferae
Campanula spp.,CAMASPE,w,seed/grain,Campanulaceae
Campanulaceae indeterminate,CAMPIND,W,seed/grain,Campanulaceae
Camphorosma monspeliaca,CAMPMON,w,seed/grain,Chenopodiaceae
Camphorosma spp.,CAMPSPE,w,seed/grain,Chenopodiaceae
Capsella bursa-pastoris,CAPSBUP,w,seed/grain,Cruciferae
Capsella spp.,CAPSSPE,w,seed/grain,Cruciferae
Carex divisa Hudson,CAREDIV,W,seed/grain,Cyperaceae
Carex sp.,CARESPE,W,seed/grain,Cyperaceae
Carrichtera annua,CARRANN,W,valves/fruit beaks,Brassicaceae
Carthamus sp. L.,CARTSPE,W,seed/grain,Asteraceae
Carthamus tenuis,CARTTEN,w,achene,Compositae
Caryophyllaceae indet.,CARYIND,W,seed/grain,Caryophyllaceae
Caryophyllaceae/Chenopodiaceae indet.,CARYCHE,W,seed/grain,Caryophyllaceae/Chenopodiaceae
Caryophyllaceae/Malvaceae,CARYMAL,w,seed/grain,Caryophyllaceae/Chenopodiaceae
Centaurea ammocyanus/pallescens,CENAMPA,w,seed/grain,Compositae
Centaurea sp. L.,CENTSPE,W,achene,Asteraceae
Centaurea sp. L.,CENTSPE,W,seed/grain,Asteraceae
Centaurea/Cirsium spp.,CENTCIR,w,seed/grain,Compositae
Cephalaria sp. Schrader ex Roemer & Schultes,CEPHSPE,W,seed/grain,Dipsacaceae
Cephalaria syriaca (L.) Schrader,CEPHSYR,W,seed/grain,Dipsacaceae
Cerastium sp.,CERASPE,W,seed/grain,Caryophyllaceae
Cerastium/Stellaria spp.,CERASTE,w,seed/grain,Caryophyllaceae
Chara sp.,CHARSPE,W,nocules,Characeae
Chrozophora spp.,CHROSPE,w,seed/grain,Euphorbiaceae
Chrozophora verbascifolia,CHROVER,W,seed/grain,Euphorbiaceae
Chrysanthemum coronarium,CHRYCOR,W,achene,Asteraceae
Chrysanthemum sp.,CHRYSPE,W,seed/grain,Asteraceae
Cichorium intybus L.,CICHINT,W,seed/grain,Lactuceae
Cirsium/Carduus,CIRSCAR,W,seed/grain,Asteraceae
Cirsium spp.,CIRSSPE,W,seed/grain,Asteraceae
Citrullus colocynthis (L.) Schrader in Linnaea,CITRCOL,W,seed/grain,Cucurbitaceae
Cladium mariscus (L.) Pohl,CLADMAR,W,seed/grain,Cyperaceae
Clematis spp.,CLEMSPE,w,seed/grain,Ranunculaceae
Cleome ornithopodioides,CLEOORN,w,seed/grain,Capparaceae
Cleome sp.,CLEOSPE,W,seed/grain,Capparaceae
Convolvulus arvensis L.,CONVARV,W,seed/grain,Convolvulaceae
Convolvulus sp. L.,CONVSPE,W,seed/grain,Convolvulaceae
Coriandrum sativum,CORISAT,D,fruits,Apiaceae
Coronilla scorpioides (L.) Koch,COROSCO,W,seed/grain,Fabaceae
Coronilla sp.,COROSPE,W,seed/grain,Fabaceae
Corydalis spp.,CORYSPE,w,seed/grain,Papaveraceae
Crepis aspera,CREPASP,W,seed/grain,Asteraceae
Crepis spp.,CREPSPE,w,seed/grain,Compositae
Crucianella / Plantago,CRUCPLA,W,seed/grain,Rubiaceae
Crucianella sp.,CRUCSPE,W,seed/grain,Rubiaceae
Crupina crupinastrum,CRUPCRU,w,'heads'/achenes/pappuses,Compositae
Cucurbitaceae indeterminate,CUCUIND,W,seed/grain,Cucurbitaceae
Cupressus sempervirens,CUPRSEM,W,fruit scale,Cupressaceae
Cuscuta sp. L.,CUSCSPE,W,seed/grain,Cuscutaceae
Cyperaceae indet.,CYPEIND,W,seed/grain,Cyperaceae
Cyperus sp.,CYPESPE,W,seed/grain,Cyperaceae
Datura spp.,DATUSPE,tree/shrub,seed/grain,Solanaceae
