taxon,taxon_code,domestic_wild_status,plant_part,family
Melica persica,MELIPER,w,seed/grain,Poaceae
Oryzopsis holciformis,ORYZHOL,w,seed/grain,Poaceae
Panicoideae indeterminate,PANIIND,w,seed/grain,Poaceae
Panicum sp.,PANISPE,W,seed/grain,Poaceae
Poa bulbosa,POABULB,w,bulbil,Poaceae
Poa bulbosa,POABULB,w,seed/grain,Poaceae
Poa sp.,POASPEC,W,seed/grain,Poaceae
Poa type,POATYPE,W,seed/grain,Poaceae
Poaceae indet.,GRAMIND,W,seed/grain,Poaceae
Poaceae indet.  Basal culm,GRAMINB,W,basal culm,Poaceae
Poaceae indet. large,GRAINLA,W,seed/grain,Poaceae
Poaceae indet. large,GRAINLA,W,chaff,Poaceae
Poaceae indet. Processed,GRAMINP,W,processed seed/grain,Poaceae
Poaceae indet. Rachis,GRAMIRA,W,chaff,Poaceae
Poaceae indet. rachis fragment,GRAINRA,W,chaff - rachis,Poaceae
Poaceae indet. small,GRAINSM,W,seed/grain,Poaceae
Poaceae indet. spikelet remains,GRAMINS,W,chaff,Poaceae
Poaceae indet. spikelet remains,GRAMINS,W,chaff - spikelet fork,Poaceae
Poaceae indet. spikelet remains,GRAMINS,W,spikelet forks,Poaceae
Poaceae indet. spikelet remains,GRAMINS,W,spikelet fork,Poaceae
Poaceae indet.culm nodes,GRAMINC,W,chaff,Poaceae
Polypogon type,POLPTYP,W,seed/grain,Poaceae
Koeleria spp.,KOELSPE,w,seed/grain,Poaceae
Phragmites australis (Cav.) Trin.,PHRAAUS,W,culm nodes,Poaceae
Phragmites sp.,PHRASPE,W,culm,Poaceae
Phragmites sp.,PHRASPE,W,seed/grain,Poaceae
Psilurus incurvus (Gouan) Schinz & Thell.,PSILINC,W,seed/grain,Poaceae
Stipa barbata/lagascae,STIBALA,w,seed/grain,Poaceae
Stipa capensis,STIPCAP,w,seed/grain,Poaceae
Stipa gigantea,STIPGIG,w,seed/grain,Poaceae
Stipa sp.,STIPSPE,W,seed/grain,Poaceae
Stipa sp. awn,STIPSPA,W,chaff - awn,Poaceae
Stipa sp. awn,STIPSPA,W,seed/grain,Poaceae
Stipa/Stipagrostis spp.,STIPSTI,w,seed/grain,Poaceae
Stipagrostis obtusa,STPGOBT,w,seed/grain,Poaceae
Stipagrostis plumosa,STPGPLU,w,seed/grain,Poaceae
Setaria sp.,SETISPE,W,seed/grain,Poaceae
Setaria viridis type,SETAVIT,W,seed/grain,Poaceae
Setaria/Panicum sp.,SETAPAN,W,seed/grain,Poaceae
Trisetum type,TRISETY,W,seed/grain,Poaceae
Triticeae,TRITIND,w,seed/grain,Poaceae
Taeniatherum caput-medusae (L.) Nevski,TAENCAM,W,seed/grain,Poaceae
Taeniatherum caput-medusae/crinitum,TAECACR,w,seed/grain,Poaceae
Taeniatherum crinitum spikelet,TAENCRS,W,chaff - spikelet fork,Poaceae
Taeniatherum crinitum spikelet,TAENCRS,W,chaff,Poaceae
Taeniatherum spikelet base,TAENSPB,w,chaff,Poaceae
Taeniatherum spikelet base,TAENSPB,w,spikelet fork,Poaceae
Taeniatherum spikelet base,TAENSPB,w,spikelet base,Poaceae
Taeniatherum spp.,TAENSPE,w,seed/grain,Poaceae
Trachynia distachya (L.) Link,TRACDIS,W,seed/grain,Poaceae
Tragus spp.,TRAGSPE,w,seed/grain,Poaceae
Festuca type,FESTTYP,W,seed/grain,Poaceae
Vulpia spp.,VULPSPE,w,seed/grain,Poaceae
