site,country,region,Latitude,Longitude,Georef rank,Abot sampling,dating,Phase,start date,end date,Median age,-,-,-,-,-,-,-,-,-,-,-,-,references
Chogha Golan,Iran,E,33.391085,46.274762,2,3,AMS,PPNA/EPPNB,-9300,-8450,-8875,?Tm Tm2,?Td,Hv,Sec,Le,-,?Pis,-,-,?La,-,-8875,Riehl et al. 2012; 2015
Chogha Golan,Iran,E,33.391085,46.274762,2,3,AMS,MPPNB,-8750,-7800,-8275,Tm,?Td,Hv,-,Le,-,?Pis,-,-,?La,-,-8275,Riehl et al. 2012; 2015
Chogha Golan,Iran,E,33.391085,46.274762,2,3,AMS,MPPNB,-8350,-7600,-7975,?Tm,Td,Hv,-,Le,-,?Pis,-,-,-,-,-7975,Riehl et al. 2012; 2015
Demirkoy,Iraq,N,37.88333333,41.08333333,2,2,C14,PPNA,-9440,-9280,-9360,-,-,wHv,-,Le,-,-,-,-,-,-,-9360,Savard et al. 2006
Dja’de,Syria,LN,36.67,38.18,2,3,AMS,Early PPNB,-8700,-8270,-8485,Tm,Td,Hv,Sec,Le,-,Pis,Vic,Vicf,-,-,-8485,Willcox et al 2008; 2009
El Kowm I (EkIa),Syria,LN,35.191122,38.85632,3,2,ass,LPPNB,-7000,-6350,-6675,-,Td,Hv,-,-,-,Pis,-,-,-,-,-6675,van Zeist 1986
El Kowm I (EkIb),Syria,LN,35.191122,38.85632,3,2,C14,Pottery Neolithic,-6350,-6090,-6220,-,Td,Hv,-,Le,-,-,-,-,-,-,-6220,van Zeist 1986
El Kowm II,Syria,LN,35.203005,38.853486,2,3,C14,Late PPNB,-7100,-6350,-6725,Tm,Td,Hv,-,-,-,-,-,Vicf,-,-,-6725,de Moulins 1997
El-Hemmeh,Jordan,LS,30.967353,35.730341,3,3,C14,PPNA,-9150,-8350,-8750,-,Td,Hv,-,Le,?Ci,-,-,-,-,-,-8750,White and Makarewicz 2012.
El-Hemmeh,Jordan,LS,30.967353,35.730341,3,3,C14,LPPNB,-7740,-6090,-6915,Tm  ,-,Hv,-,Le,?Ci,-,-,-,-,-,-6915,White and Makarewicz 2012.
