variant	canon	group	genus	family	category	founder_crop	edibility	grass_type	legume_type	wood
Buglossoides arvensis	Buglossoides arvensis	Buglossoides spp. (incl. arvensis, tenuiflora)	Buglossoides	Boraginaceae	Wild plants	NA		NA	NA	NA
Buglossoides arvensis/incrassata	Buglossoides sp.	Buglossoides spp. (incl. arvensis, tenuiflora)	Buglossoides	Boraginaceae	Wild plants	NA		NA	NA	NA
Buglossoides tenuiflora	Buglossoides tenuiflora	Buglossoides spp. (incl. arvensis, tenuiflora)	Buglossoides	Boraginaceae	Wild plants	NA		NA	NA	NA
Bupleurum lancifolium	Bupleurum lancifolium	Bupleurum spp. (incl. lancifolium, rotundifolium, subovatum)	Bupleurum	Apiaceae	Wild plants	NA	leaves, root	NA	NA	NA
Bupleurum rotundifolium	Bupleurum rotundifolium	Bupleurum spp. (incl. lancifolium, rotundifolium, subovatum)	Bupleurum	Apiaceae	Wild plants	NA	leaves, root	NA	NA	NA
Bupleurum	Bupleurum sp.	Bupleurum spp. (incl. lancifolium, rotundifolium, subovatum)	Bupleurum	Apiaceae	Wild plants	NA	leaves, root	NA	NA	NA
Bupleurum sp. L.	Bupleurum sp.	Bupleurum spp. (incl. lancifolium, rotundifolium, subovatum)	Bupleurum	Apiaceae	Wild plants	NA	leaves, root	NA	NA	NA
cf. Bupleurum sp.	Bupleurum sp.	Bupleurum spp. (incl. lancifolium, rotundifolium, subovatum)	Bupleurum	Apiaceae	Wild plants	NA	leaves, root	NA	NA	NA
Bupleurum subovatum	Bupleurum subovatum	Bupleurum spp. (incl. lancifolium, rotundifolium, subovatum)	Bupleurum	Apiaceae	Wild plants	NA	leaves, root	NA	NA	NA
Calendula arvensis L.	Calendula arvensis	Calendula spp. (incl. arvensis)	Calendula	Asteraceae	Wild plants	NA	flowers	NA	NA	NA
Calendula	Calendula sp.	Calendula spp. (incl. arvensis)	Calendula	Asteraceae	Wild plants	NA	flowers	NA	NA	NA
Camelina microcarpa	Camelina microcarpa	Camelina spp. (incl. microcarpa, sativa)	Camelina	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Camelina sativa (L.) Crantz	Camelina sativa	Camelina spp. (incl. microcarpa, sativa)	Camelina	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Camelina	Camelina sp.	Camelina spp. (incl. microcarpa, sativa)	Camelina	Brassicaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Camphorosma monspeliaca	Camphorosma monspeliaca	Camphorosma spp. (incl. monspeliaca)	Camphorosma	Amaranthaceae	Wild plants	NA	NA	NA	NA	NA
Camphorosma	Camphorosma sp.	Camphorosma spp. (incl. monspeliaca)	Camphorosma	Amaranthaceae	Wild plants	NA	NA	NA	NA	NA
Cannabis sativa L.	Cannabis sativa	Cannabis sativa	Cannabis	Cannabaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Capparis	Capparis sp.	Capparis spp. (incl. spinosa)	Capparis	Capparaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Capparis sp.	Capparis sp.	Capparis spp. (incl. spinosa)	Capparis	Capparaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
