canon	variant	genus	family	crop_type	grass_type	legume_type	wood
NA	indeterminate wood	NA	NA	NA	NA	NA	TRUE
NA	LSLEG	NA	NA	NA	NA	NA	NA
NA	other weeds total including indet. Types	NA	NA	Wild	NA	NA	NA
NA	Parenchyma	NA	NA	NA	NA	NA	NA
NA	Pistacia/Celtis	NA	NA	NA	NA	NA	NA
NA	sedges/nutlets	NA	NA	NA	NA	NA	NA
NA	Suaeda/Scirpus maritimus	NA	NA	NA	NA	NA	NA
Peganum harmala	Peganum harmala	Peganum	Nitrariaceae	Wild	NA	NA	NA
Peganum harmala	Peganum harmala L.	Peganum	Nitrariaceae	Wild	NA	NA	NA
Peganum sp.	Peganum sp.	Peganum	Nitrariaceae	Wild	NA	NA	NA
Fraxinus sp.	Fraxinus sp. wood	Fraxinus	Oleaceae	Wild	NA	NA	TRUE
Olea europaea	Olea europaea L.	Olea	Oleaceae	Wild	NA	NA	NA
Olea europaea	Olea europaea L. wood	Olea	Oleaceae	Wild	NA	NA	TRUE
Olea europaea	Olea europea	Olea	Oleaceae	Wild	NA	NA	NA
Olea sp.	Olea	Olea	Oleaceae	Wild	NA	NA	NA
Olea sp.	Olea sp. L.	Olea	Oleaceae	Wild	NA	NA	NA
Oxalis sp.	Oxalis sp.	Oxalis	Oxalidaceae	Wild	NA	NA	NA
Corydalis sp.	Corydalis	Corydalis	Papaveraceae	Wild	NA	NA	NA
Corydalis sp.	Corydalis sp.	Corydalis	Papaveraceae	Wild	NA	NA	NA
Fumaria densiflora	Fumaria densiflora	Fumaria	Papaveraceae	Wild	NA	NA	NA
Fumaria officinalis	Fumaria officinalis L. type	Fumaria	Papaveraceae	Wild	NA	NA	NA
Fumaria parviflora	Fumaria parviflora	Fumaria	Papaveraceae	Wild	NA	NA	NA
Fumaria sp.	Fumaria	Fumaria	Papaveraceae	Wild	NA	NA	NA
Fumaria sp.	Fumaria parviflora/densiflora	Fumaria	Papaveraceae	Wild	NA	NA	NA
Fumaria sp.	Fumaria sp.	Fumaria	Papaveraceae	Wild	NA	NA	NA
Fumaria sp.	Fumaria sp. uncarbonized	Fumaria	Papaveraceae	Wild	NA	NA	NA
Glaucium aleppicum	Glaucium aleppicum	Glaucium	Papaveraceae	Wild	NA	NA	NA
Glaucium corniculatum	Glaucium corniculatum	Glaucium	Papaveraceae	Wild	NA	NA	NA
Glaucium corniculatum	Glaucium corniculatum (L.) Rud.	Glaucium	Papaveraceae	Wild	NA	NA	NA
Glaucium sp.	Glaucium	Glaucium	Papaveraceae	Wild	NA	NA	NA
Glaucium sp.	Glaucium sp.	Glaucium	Papaveraceae	Wild	NA	NA	NA
NA	Papaveraceae	NA	Papaveraceae	Wild	NA	NA	NA
Papaver dubium	Papaver dubium L.	Papaver	Papaveraceae	Wild	NA	NA	NA
Papaver setigerum	Papaver setigerum	Papaver	Papaveraceae	Wild	NA	NA	NA
Papaver sp.	Papaver	Papaver	Papaveraceae	Wild	NA	NA	NA
Papaver sp.	Papaver sp.	Papaver	Papaveraceae	Wild	NA	NA	NA
Papaver sp.	Papaver sp. (mineralized)	Papaver	Papaveraceae	Wild	NA	NA	NA
Phoenix dactylifera	Phoenix dactylifera L.	Phoenix	Phoeniaceae	Wild	NA	NA	NA
Phoenix dactylifera	Phoenix dactylifera L. wood	Phoenix	Phoeniaceae	Wild	NA	NA	TRUE
Phoenix theophrasti	Phoenix theophrasti	Phoenix	Phoeniaceae	Wild	NA	NA	NA
Cedrus libani	Cedrus libani wood	Cedrus	Pinaceae	Wild	NA	NA	TRUE
Pinus halepensis	Pinus halepensis	Pinus	Pinaceae	Wild	NA	NA	NA
Antirrhinum orontium	Antirrhinum orontium	Antirrhinum	Plantaginaceae	Wild	NA	NA	NA
NA	Plantaginaceae indeterminate	NA	Plantaginaceae	Wild	NA	NA	NA
Plantago amplexicaulis	Plantago amplexicaulis	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago arenaria	Plantago arenaria type	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago coronopus	Plantago coronopus	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago lagopus	Plantago lagopus	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago lanceolata	Plantago lanceolata	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago major	Plantago major	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago ovata	Plantago ovata	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago psyllium	Plantago psyllium	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago sp.	Plantago	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago sp.	Plantago notata/ovata	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago sp.	Plantago ovata/lanceolata	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago sp.	Plantago sp.	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago sp.	Plantago type	Plantago	Plantaginaceae	Wild	NA	NA	NA
Plantago squarrosa	Plantago squarrosa	Plantago	Plantaginaceae	Wild	NA	NA	NA
Veronica persica	Veronica persica type	Veronica	Plantaginaceae	Wild	NA	NA	NA
Veronica sp.	cf. Veronica sp.	Veronica	Plantaginaceae	Wild	NA	NA	NA
Veronica sp.	Veronica sp.	Veronica	Plantaginaceae	Wild	NA	NA	NA
Aegilops crassa	Aegilops crassa	Aegilops	Poaceae	Wild	Large/medium-seeded	NA	NA
Aegilops crassa	Aegilops crassa internodes	Aegilops	Poaceae	Wild	Large/medium-seeded	NA	NA
Aegilops kotschyi	Aegilops kotschyi	Aegilops	Poaceae	Wild	Large/medium-seeded	NA	NA
Aegilops peregrina	Aegilops peregrina	Aegilops	Poaceae	Wild	Large/medium-seeded	NA	NA
Aegilops sp.	Aegilops	Aegilops	Poaceae	Wild	Large/medium-seeded	NA	NA
Aegilops sp.	Aegilops cylindrica/tauschii/speltoides	Aegilops	Poaceae	Wild	Large/medium-seeded	NA	NA
Aegilops sp.	Aegilops geniculata/pergrina	Aegilops	Poaceae	Wild	Large/medium-seeded	NA	NA
Aegilops sp.	Aegilops sp. fragment	Aegilops	Poaceae	Wild	NA	NA	NA
Aegilops sp.	Aegilops sp. glume bases (spikelet bases)	Aegilops	Poaceae	Wild	NA	NA	NA
Aegilops sp.	Aegilops sp. glume remains	Aegilops	Poaceae	Wild	NA	NA	NA
Aegilops sp.	Aegilops sp. grains	Aegilops	Poaceae	Wild	NA	NA	NA
Aegilops sp.	Aegilops sp. spikelet forks (spikelets)	Aegilops	Poaceae	Wild	NA	NA	NA
Aegilops sp.	Aegilops speltoides/caudata	Aegilops	Poaceae	Wild	Large/medium-seeded	NA	NA
Aegilops sp.	Aegilops spp.	Aegilops	Poaceae	Wild	NA	NA	NA
Aegilops speltoides	Aegilops speltoides	Aegilops	Poaceae	Wild	Large/medium-seeded	NA	NA
Aegilops umbellulata	Aegilops umbellulata	Aegilops	Poaceae	Wild	NA	NA	NA
Aegilops umbellulata	Aegilops umbellulata Zhukovsky	Aegilops	Poaceae	Wild	NA	NA	NA
Aeluropus sp.	Aeluropus	Aeluropus	Poaceae	Wild	Small-seeded	NA	NA
Agropyron sp.	Agropyron sp.	Agropyron	Poaceae	Wild	NA	NA	NA
Agrostis sp.	Agrostis	Agrostis	Poaceae	Wild	Small-seeded	NA	NA
Alopecurus sp.	Alopecurus	Alopecurus	Poaceae	Wild	Small-seeded	NA	NA
Alopecurus utriculatus	Alopecurus utriculatus	Alopecurus	Poaceae	Wild	Small-seeded	NA	NA
Avena barbata	Avena barbata	Avena	Poaceae	Wild	Large/medium-seeded	NA	NA
Avena barbata	cf. Avena barbata	Avena	Poaceae	Wild	NA	NA	NA
Avena clauda	Avena clauda	Avena	Poaceae	Wild	Large/medium-seeded	NA	NA
Avena fatua	Avena fatua	Avena	Poaceae	Wild	Large/medium-seeded	NA	NA
Avena fatua	Avena fatua L.	Avena	Poaceae	Wild	Large/medium-seeded	NA	NA
Avena sativa	Avena sativa	Avena	Poaceae	Wild	Large/medium-seeded	NA	NA
Avena sp.	Avena	Avena	Poaceae	Wild	Large/medium-seeded	NA	NA
Avena sp.	Avena sp.	Avena	Poaceae	Wild	Large/medium-seeded	NA	NA
Avena sp.	Avena sp. awns	Avena	Poaceae	Wild	Large/medium-seeded	NA	NA
Avena sterilis	Avena sterilis	Avena	Poaceae	Wild	Large/medium-seeded	NA	NA
Avena sterilis	Avena sterilis L.	Avena	Poaceae	Wild	Large/medium-seeded	NA	NA
Avena wiestii	Avena wiestii Steudel	Avena	Poaceae	Wild	Large/medium-seeded	NA	NA
Brachiaria sp.	Brachiaria sp.	Brachiaria	Poaceae	Wild	NA	NA	NA
Brachypodium distachyon	Brachypodium distachyon	Brachypodium	Poaceae	Wild	NA	NA	NA
Bromus arvensis	Bromus arvensis type	Bromus	Poaceae	Wild	NA	NA	NA
Bromus danthoniae	Bromus danthoniae type	Bromus	Poaceae	Wild	NA	NA	NA
Bromus diandrus	Bromus diandrus Roth	Bromus	Poaceae	Wild	NA	NA	NA
Bromus hordeaceus	Bromus hordeaceus type	Bromus	Poaceae	Wild	NA	NA	NA
Bromus secalinus	Bromus secalinus L.	Bromus	Poaceae	Wild	NA	NA	NA
Bromus sp.	Bromus	Bromus	Poaceae	Wild	NA	NA	NA
Bromus sp.	Bromus rigidus/sterilis	Bromus	Poaceae	Wild	NA	NA	NA
Bromus sp.	Bromus sp.	Bromus	Poaceae	Wild	NA	NA	NA
Bromus sp.	cf. Bromus sp.	Bromus	Poaceae	Wild	NA	NA	NA
Bromus sterilis	Bromus sterilis	Bromus	Poaceae	Wild	Large/medium-seeded	NA	NA
Bromus tectorum	Bromus tectorum L.	Bromus	Poaceae	Wild	NA	NA	NA
Chloris sp.	Chloris sp.	Chloris	Poaceae	Wild	NA	NA	NA
Crithopsis delileana	Crithopis deliliana	Crithopis	Poaceae	Wild	NA	NA	NA
Crypsis alopecuroides	Crypis alopecuroides (Piller & Mitterp.) Schrader	Crypsis	Poaceae	Wild	NA	NA	NA
Crypsis alopecuroides	Crypis schoenoides (L.) Lam.	Crypsis	Poaceae	Wild	NA	NA	NA
Crypsis sp.	Crypsis	Crypsis	Poaceae	Wild	Small-seeded	NA	NA
Crypsis sp.	Crypsis sp.	Crypsis	Poaceae	Wild	Small-seeded	NA	NA
Cutandia dichotoma	Cutandia dichotoma	Cutandia	Poaceae	Wild	Small-seeded	NA	NA
Cutandia memphitica	Cutandia memphitica	Cutandia	Poaceae	Wild	Small-seeded	NA	NA
Cutandia sp.	Cutandia	Cutandia	Poaceae	Wild	Small-seeded	NA	NA
Cynodon dactylon	Cynodon dactylon (L.) Pers.	Cynodon	Poaceae	Wild	Small-seeded	NA	NA
Cynodon sp.	Cynodon	Cynodon	Poaceae	Wild	Small-seeded	NA	NA
Dactylis glomerata	Dactylis glomerata	Dactylis	Poaceae	Wild	Small-seeded	NA	NA
Digitaria sanguinalis	Digitaria sanguinalis (L.) Scop.	Digitaria	Poaceae	Wild	NA	NA	NA
Echinaria sp.	cf. Echinaria sp.	Echinaria	Poaceae	Wild	NA	NA	NA
Echinaria sp.	Echinaria	Echinaria	Poaceae	Wild	Large/medium-seeded	NA	NA
Echinaria sp.	Echinaria spp.	Echinaria	Poaceae	Wild	Large/medium-seeded	NA	NA
Echinochloa colonum	Echinochloa colonum (L.) Link	Echinochloa	Poaceae	Wild	NA	NA	NA
Echinochloa crus-galli	Echinochloa crus-galli	Echinochloa	Poaceae	Wild	Small-seeded	NA	NA
Echinochloa sp.	Echinochloa sp.	Echinochloa	Poaceae	Wild	NA	NA	NA
Echinochloa sp.	Echinops sp. L.	Echinochloa	Poaceae	Wild	NA	NA	NA
Elymus sp.	Elymus	Elymus	Poaceae	Wild	Large/medium-seeded	NA	NA
Eragrostis barrelieri	Eragrostis barrelieri	Eragrostis	Poaceae	Wild	Small-seeded	NA	NA
Eragrostis sp.	Eragrostis	Eragrostis	Poaceae	Wild	Small-seeded	NA	NA
Eragrostis sp.	Eragrostis sp.	Eragrostis	Poaceae	Wild	Small-seeded	NA	NA
Eremopyrum bonaepartis	Eremopyrum bonaepartis	Eremopyrum	Poaceae	Wild	Large/medium-seeded	NA	NA
Eremopyrum sp.	Eremopyrum	Eremopyrum	Poaceae	Wild	Large/medium-seeded	NA	NA
Eremopyrum sp.	Eremopyrum sp.	Eremopyrum	Poaceae	Wild	Large/medium-seeded	NA	NA
Festuca sp.	Festuca type	Festuca	Poaceae	Wild	NA	NA	NA
Gaudiniopsis sp.	Gaudiniopsis	Gaudiniopsis sp.	Poaceae	Wild	Small-seeded	NA	NA
Henrardia pubescens	Henrardia pubescens	Henrardia	Poaceae	Wild	Large/medium-seeded	NA	NA
Herniaria sp.	Herniaria	Herniaria	Poaceae	Wild	Small-seeded	NA	NA
Herniaria sp.	Herniaria sp.	Herniaria	Poaceae	Wild	Small-seeded	NA	NA
Hordeum bulbosum	Hordeum bulbosum	Hordeum	Poaceae	NA	Large/medium-seeded	NA	NA
Hordeum distichum	Hordeum distichum grain (hulled)	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum distichum	Hordeum distichum rachis	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum glaucum	Hordeum glaucum	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum marinum	Hordeum marinum	Hordeum	Poaceae	NA	Large/medium-seeded	NA	NA
Hordeum murinum	Hordeum murinum	Hordeum	Poaceae	NA	Large/medium-seeded	NA	NA
Hordeum murinum	Hordeum murinum type	Hordeum	Poaceae	NA	Large/medium-seeded	NA	NA
Hordeum sp.	cf. Hordeum sp.	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum sp.	Hordeum	Hordeum	Poaceae	NA	Large/medium-seeded	NA	NA
Hordeum sp.	Hordeum (non-cereal)	Hordeum	Poaceae	NA	Large/medium-seeded	NA	NA
Hordeum sp.	Hordeum distichum/vulgare grain	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum sp.	Hordeum distichum/vulgare grain (hulled)	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum sp.	Hordeum distichum/vulgare grain (naked)	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum sp.	Hordeum distichum/vulgare rachis	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum sp.	Hordeum hystrix/marinum	Hordeum	Poaceae	Founder crop	Large/medium-seeded	NA	NA
Hordeum sp.	Hordeum murinum/bulbosum	Hordeum	Poaceae	NA	Large/medium-seeded	NA	NA
Hordeum sp.	Hordeum sp. (imprints)	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum sp.	Hordeum sp. (wild)	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum sp.	Hordeum sp. awns	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum sp.	Hordeum sp. glume remains	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum sp.	Hordeum sp. grains	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum sp.	Hordeum sp. rachis internodes	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum sp.	Hordeum spontaneum/bulbosum	Hordeum	Poaceae	NA	Large/medium-seeded	NA	NA
Hordeum sp.	Hordeum spontaneum/sativum grains	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum sp.	Hordeum spontaneum/sativum rachis internodes	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum sp.	Hordeum spontaneum&vulgare/sativum	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum sp.	Hordeum spp.	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum sp.	Hordeum vulgare/spontaneum	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum sphaerococcum	Hordeum sphaerococcum	Hordeum	Poaceae	NA	NA	NA	NA
Hordeum spontaneum	Hordeum spontaneum	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum spontaneum	Hordeum spontaneum Koch	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum spontaneum	Hordeum spontaneum rachis internodes	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum spontaneum	Hordeum spontaneum type	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum vulgare	Hordeum vulgare	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum vulgare	Hordeum vulgare distichum	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum vulgare	Hordeum vulgare hexastichum	Hordeum	Poaceae	Founder crop	Large/medium-seeded	NA	NA
Hordeum vulgare	Hordeum vulgare rachis	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum vulgare	Hordeum vulgare var. coeleste	Hordeum	Poaceae	Founder crop	Large/medium-seeded	NA	NA
Hordeum vulgare	Hordeum vulgare var. nudum	Hordeum	Poaceae	Founder crop	Large/medium-seeded	NA	NA
Hordeum vulgare	Hordeum vulgare var. nudum/spontaneum	Hordeum	Poaceae	Founder crop	Large/medium-seeded	NA	NA
Hordeum vulgare	Hordeum vulgare vulgare grain (hulled)	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum vulgare	Hordeum vulgare vulgare grain (naked)	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum vulgare	Hordeum vulgare vulgare grain (uncarbonized)	Hordeum	Poaceae	Founder crop	NA	NA	NA
Hordeum vulgare	Hordeum vulgare vulgare rachis	Hordeum	Poaceae	Founder crop	NA	NA	NA
Imperata sp.	Imperata	Imperata	Poaceae	Wild	Small-seeded	NA	NA
Lolium perenne	Lolium perenne type	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium persicum	Lolium persicum type	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium remotum	Lolium remotum Schrank	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium remotum	Lolium remotum type	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium rigidum	Lolium rigidum	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium rigidum	Lolium rigidum Gaudin	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium sp.	cf. Lolium sp.	Lolium	Poaceae	Wild	NA	NA	NA
Lolium sp.	Lolium	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium sp.	Lolium perenne/rigidum	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium sp.	Lolium rigidum/perenne	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium sp.	Lolium rigidum/persicum	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium sp.	Lolium sp.	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium sp.	Lolium spp.	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium sp.	Lolium type	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium temulentum	Lolium temulentum	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Lolium temulentum	Lolium temulentum L.	Lolium	Poaceae	Wild	Large/medium-seeded	NA	NA
Melica persica	Melica persica	Melica	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Aeluropus/Agrostis/Eragrostis	NA	Poaceae	Wild	Small-seeded	NA	NA
NA	Agropyron/Eremopyrum	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Agrostis/Poa	NA	Poaceae	Wild	NA	NA	NA
NA	Avena/Stipa	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Aveneae	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Brachypodium/Bromus	NA	Poaceae	Wild	NA	NA	NA
NA	cereal indet. (domestic)	NA	Poaceae	Other crop	Large/medium-seeded	NA	NA
NA	Cereal indeterminate	NA	Poaceae	Other crop	Large/medium-seeded	NA	NA
NA	Cereal indeterminate basal culm	NA	Poaceae	Other crop	Large/medium-seeded	NA	NA
NA	Cereal indeterminate chaff	NA	Poaceae	Other crop	Large/medium-seeded	NA	NA
NA	Cereal indeterminate culm	NA	Poaceae	Other crop	Large/medium-seeded	NA	NA
NA	Cereal indeterminate fragment	NA	Poaceae	Other crop	Large/medium-seeded	NA	NA
NA	Cereal indeterminate grains	NA	Poaceae	Other crop	Large/medium-seeded	NA	NA
NA	Cereal indeterminate rachis	NA	Poaceae	Other crop	Large/medium-seeded	NA	NA
NA	Cynodon/Tragus	NA	Poaceae	Wild	Small-seeded	NA	NA
NA	Echinaria/Setaria	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Festuca/Lolium sp.	NA	Poaceae	Wild	NA	NA	NA
NA	Hordeum/Aegilops	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Hordeum/Bromus	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Hordeum/Elymus	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Hordeum/Secale	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Hordeum/Taeniatherum	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Hyacinthaceae	NA	Poaceae	Wild	NA	NA	NA
NA	Imperata/Saccharum	NA	Poaceae	Wild	Small-seeded	NA	NA
NA	other grasses	NA	Poaceae	Wild	Indeterminate	NA	NA
NA	Paniceae	NA	Poaceae	Wild	Small-seeded	NA	NA
NA	Panicoid	NA	Poaceae	Wild	Small-seeded	NA	NA
NA	Panicum/Setaria	NA	Poaceae	Wild	Small-seeded	NA	NA
NA	Phalaris/Alopecurus	NA	Poaceae	Wild	NA	NA	NA
NA	Poaceae	NA	Poaceae	NA	Indeterminate	NA	NA
NA	Poaceae (small-seeded)	NA	Poaceae	NA	Small-seeded	NA	NA
NA	Poaceae indet.	NA	Poaceae	NA	Indeterminate	NA	NA
NA	Poaceae indet. awn	NA	Poaceae	NA	Indeterminate	NA	NA
NA	Poaceae indet. culm fragments	NA	Poaceae	NA	Indeterminate	NA	NA
NA	Poaceae indet. large	NA	Poaceae	NA	Large/medium-seeded	NA	NA
NA	Poaceae indet. medium	NA	Poaceae	NA	Large/medium-seeded	NA	NA
NA	Poaceae indet. rachis fragment	NA	Poaceae	NA	Indeterminate	NA	NA
NA	Poaceae indet. small	NA	Poaceae	NA	Small-seeded	NA	NA
NA	Poaceae indet. spikelet remains	NA	Poaceae	NA	Indeterminate	NA	NA
NA	Poaceae indet. wild	NA	Poaceae	Wild	Indeterminate	NA	NA
NA	Psilurus/Parapholis	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Setaria/Digitaria	NA	Poaceae	Wild	Small-seeded	NA	NA
NA	Stipa/Stipagrostis	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Triticum/Aegilops	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Triticum/Hordeum	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Triticum/Secale	NA	Poaceae	Wild	Large/medium-seeded	NA	NA
NA	Vulpia/Loliolum	NA	Poaceae	Wild	Small-seeded	NA	NA
NA	wild grasses	NA	Poaceae	Wild	NA	NA	NA
Panicum miliaceum	Panicum miliaceum	Panicum	Poaceae	Wild	Small-seeded	NA	NA
Panicum sp.	Panicum	Panicum	Poaceae	Wild	Small-seeded	NA	NA
Panicum sp.	Panicum sp.	Panicum	Poaceae	Wild	Small-seeded	NA	NA
Panicum turgidum	Panicum turgidum	Panicum	Poaceae	Wild	Small-seeded	NA	NA
Phalaris minor	Phalaris minor Retz	Phalaris	Poaceae	Wild	Small-seeded	NA	NA
Phalaris paradoxa	Phalaris paradoxa	Phalaris	Poaceae	Wild	Small-seeded	NA	NA
Phalaris paradoxa	Phalaris paradoxa L.	Phalaris	Poaceae	Wild	Small-seeded	NA	NA
Phalaris sp.	cf. Phalaris sp.	Phalaris	Poaceae	Wild	Small-seeded	NA	NA
Phalaris sp.	Phalaris	Phalaris	Poaceae	Wild	Small-seeded	NA	NA
Phalaris sp.	Phalaris aquatica/paradoxa	Phalaris	Poaceae	Wild	Small-seeded	NA	NA
Phalaris sp.	Phalaris sp.	Phalaris	Poaceae	Wild	Small-seeded	NA	NA
Phalaris sp.	Phalaris type	Phalaris	Poaceae	Wild	Small-seeded	NA	NA
Phalaris tuberosa	Phalaris tuberosa	Phalaris	Poaceae	Wild	Small-seeded	NA	NA
Phleum sp.	Phleum	Phleum	Poaceae	Wild	Small-seeded	NA	NA
Phleum sp.	Phleum sp.	Phleum	Poaceae	Wild	Small-seeded	NA	NA
Phragmites australis	Phragmites australis	Phragmites	Poaceae	Wild	Small-seeded	NA	NA
Phragmites australis	Phragmites australis (Cav.) Trin.	Phragmites	Poaceae	Wild	Small-seeded	NA	NA
Piptatherum miliaceum	Piptatherum miliaceum	Piptatherum	Poaceae	Wild	Large/medium-seeded	NA	NA
Poa bulbosa	Poa bulbosa	Poa	Poaceae	Wild	Small-seeded	NA	NA
Poa bulbosa	Poa bulbosa ssp. Vivipara	Poa	Poaceae	Wild	Small-seeded	NA	NA
Poa sp.	cf. Poa sp.	Poa	Poaceae	Wild	Small-seeded	NA	NA
Poa sp.	Poa	Poa	Poaceae	Wild	Small-seeded	NA	NA
Poa sp.	Poa type	Poa	Poaceae	Wild	Small-seeded	NA	NA
Psilurus incurvus	Psilurus incurvus	Psilurus	Poaceae	Wild	Large/medium-seeded	NA	NA
Psilurus sp.	Psilurus	Psilurus	Poaceae	Wild	Large/medium-seeded	NA	NA
Secale cereale	Secale cereale	Secale	Poaceae	Other crop	Large/medium-seeded	NA	NA
Secale cereale	Secale cereale grains	Secale	Poaceae	Other crop	Large/medium-seeded	NA	NA
Secale cereale	Secale cereale rachis	Secale	Poaceae	Other crop	Large/medium-seeded	NA	NA
Secale cereale	Secale cereale ssp. Segetale	Secale	Poaceae	Other crop	Large/medium-seeded	NA	NA
Secale cereale	Secale cereale ssp.vavilovii	Secale	Poaceae	Other crop	Large/medium-seeded	NA	NA
Secale montanum	Secale montanum	Secale	Poaceae	Other crop	Large/medium-seeded	NA	NA
Secale sp.	Secale	Secale	Poaceae	Other crop	Large/medium-seeded	NA	NA
Secale sp.	Secale montanum/cereale var vavilovii	Secale	Poaceae	Other crop	Large/medium-seeded	NA	NA
Secale sp.	Secale montanum/cereale var vavilovii/Hordeum	Secale	Poaceae	Other crop	Large/medium-seeded	NA	NA
Secale sp.	Secale sp.	Secale	Poaceae	Other crop	Large/medium-seeded	NA	NA
Secale sp.	Secale spp.	Secale	Poaceae	Other crop	Large/medium-seeded	NA	NA
Setaria sp.	Setaria	Setaria	Poaceae	Wild	Small-seeded	NA	NA
Setaria sp.	Setaria sp.	Setaria	Poaceae	Wild	Small-seeded	NA	NA
Setaria verticillata	Setaria verticillata (L.) P. Beauv.	Setaria	Poaceae	Wild	Small-seeded	NA	NA
Setaria viridis	Setaria viridis type	Setaria	Poaceae	Wild	Small-seeded	NA	NA
Stipa capensis	Stipa capensis	Stipa	Poaceae	Wild	Large/medium-seeded	NA	NA
Stipa gigantea	Stipa gigantea	Stipa	Poaceae	Wild	Large/medium-seeded	NA	NA
Stipa sp.	cf. Stipa sp.	Stipa	Poaceae	Wild	NA	NA	NA
Stipa sp.	Stipa	Stipa	Poaceae	Wild	Large/medium-seeded	NA	NA
Stipa sp.	Stipa barbata/lagascae	Stipa	Poaceae	Wild	Large/medium-seeded	NA	NA
Stipa sp.	Stipa lagascae/hohenackeriana/barbata	Stipa	Poaceae	Wild	Large/medium-seeded	NA	NA
Stipa sp.	Stipa parviflora/capensis	Stipa	Poaceae	Wild	Large/medium-seeded	NA	NA
Stipa sp.	Stipa sp.	Stipa	Poaceae	Wild	Large/medium-seeded	NA	NA
Stipa sp.	Stipa sp. awn	Stipa	Poaceae	Wild	Large/medium-seeded	NA	NA
